name,description,category,target_audience,sku,price
Wireless Bluetooth Headphones,High-quality wireless headphones with noise cancellation and 30-hour battery life,Electronics,Tech Enthusiasts,WBHP-001,79.99
Organic Coffee Beans,Premium arabica coffee beans sourced from Ethiopian highlands with rich chocolate notes,Beverages,Coffee Lovers,OCB-001,24.99
Yoga Mat Pro,Non-slip eco-friendly yoga mat with alignment markers and carrying strap,Sports & Fitness,Fitness Enthusiasts,YMP-001,49.99
Stainless Steel Water Bottle,Insulated water bottle keeps drinks cold for 24 hours or hot for 12 hours,Home & Outdoor,Eco-Conscious Consumers,SWB-001,34.99
Portable Phone Charger,20000mAh power bank with fast charging support for all devices,Electronics,Mobile Users,PPC-001,29.99
Bamboo Cutting Board Set,Set of 3 eco-friendly bamboo cutting boards in different sizes,Kitchen & Dining,Home Cooks,BCS-001,39.99
Meditation Cushion,Buckwheat-filled meditation cushion for comfortable floor seating,Sports & Fitness,Yoga Practitioners,MC-001,44.99
Natural Face Moisturizer,Organic moisturizer with aloe vera and vitamin E for all skin types,Beauty & Personal Care,Skincare Enthusiasts,NFM-001,22.99
LED Desk Lamp,USB-powered LED lamp with 3 brightness levels and eye-care technology,Office & Work,Students & Professionals,LDL-001,31.99
Reusable Shopping Bags,Set of 5 cotton canvas shopping bags with strong handles,Home & Outdoor,Eco-Conscious Consumers,RSB-001,19.99
